Vendedor,SKU,Sexo,Tags,Vendedor,Nombre,Marca,Talla,Categoría,Subcategoría,Estilo,Estilo 2 (opcional),Color,Color (opcional),Precio Influ,Inventory,# Fotos,Precio Final,Fecha,Descripción
#1071,3.1071.01,Woman,"Woman, Zara, S, Abrigos | Chaquetas, Casual, Rosa",Laura Cañero,Abrigo rosa de peluche,Zara,S,Abrigos | Chaquetas,,Casual,,Rosa,,"20,72",cubyn-fulfillment,3,"26,99",,
#1071,3.1071.02,Woman,"Woman, New Look , S, Abrigos | Chaquetas, Casual, Gris",Laura Cañero,Abrigo gris de cuadros ,New Look ,S,Abrigos | Chaquetas,,Casual,,Gris,,"20,72",cubyn-fulfillment,3,"26,99",,
#1071,3.1071.03,Woman,"Woman, Zara, S, Abrigos | Chaquetas, Casual, Rockero, Gris",Laura Cañero,Cazadora gris de anté,Zara,S,Abrigos | Chaquetas,,Casual,Rockero,Gris,,"13,04",cubyn-fulfillment,3,"16,99",,
#1071,3.1071.04,Woman,"Woman, Pull&Bear, S, Jerséis | Cárdigans, Comfy, Beige, Multicolor",Laura Cañero,Jersey estampado de peluche (NUEVO),Pull&Bear,S,Jerséis | Cárdigans,,Comfy,,Beige,Multicolor,"9,97",cubyn-fulfillment,3,"12,99",,
#1071,3.1071.05,Woman,"Woman, Zara, 38, Abrigos | Chaquetas, Casual, Blanco",Laura Cañero,Abrigo blanco tipo blazer,Zara,38,Abrigos | Chaquetas,,Casual,,Blanco,,"19,19",cubyn-fulfillment,3,"24,99",,
#1071,3.1071.06,Woman,"Woman, Zara, XS, Blusas | Camisas, Casual, Azul",Laura Cañero,Camisa azul de lunares ,Zara,XS,Blusas | Camisas,,Casual,,Azul,,"8,44",cubyn-fulfillment,3,"10,99",,
#1071,3.1071.07,Woman,"Woman, Zara, XS, Tops, Party night, Casual, Beige",Laura Cañero,Top beige satinado (NUEVO),Zara,XS,Tops,,Party night,Casual,Beige,,"11,51",cubyn-fulfillment,3,"14,99",,
#1071,3.1071.08,Woman,"Woman, Zara, XS, Vestidos, Casual, Verde",Laura Cañero,Vestido verde de lycra,Zara,XS,Vestidos,,Casual,,Verde,,"19,19",cubyn-fulfillment,3,"24,99",,
#1071,3.1071.09,Woman,"Woman, Mistress Rock , S, Tops, Casual, Party night, Marrón",Laura Cañero,Top marrón hombros abullonados ,Mistress Rock ,S,Tops,,Casual,Party night,Marrón,,"22,26",cubyn-fulfillment,3,"28,99",,
#1071,3.1071.10,Woman,"Woman, Pull&Bear, XS, Tops, Party night, Beige",Laura Cañero,Top beige de lentejuelas (NUEVO),Pull&Bear,XS,Tops,,Party night,,Beige,,"14,58",cubyn-fulfillment,3,"18,99",,
#1071,3.1071.11,Woman,"Woman, Mistress Rocks , S, Tops, Casual, Beige",Laura Cañero,Top beige tipo corset hombros abullonados ,Mistress Rocks ,S,Tops,,Casual,,Beige,,"22,26",cubyn-fulfillment,3,"28,99",,
#1071,3.1071.12,Woman,"Woman, Zara, XS, Blusas | Camisas, Casual, Blanco",Laura Cañero,Blusa blanca de vuelos ,Zara,XS,Blusas | Camisas,,Casual,,Blanco,,"8,44",cubyn-fulfillment,3,"10,99",,
#1071,3.1071.13,Woman,"Woman, Zara, XS, Blusas | Camisas, Casual, Blanco",Laura Cañero,Camisa blanca transparente ,Zara,XS,Blusas | Camisas,,Casual,,Blanco,,"8,44",cubyn-fulfillment,3,"10,99",,
#1071,3.1071.14,Woman,"Woman, Pull&Bear, S, Tops, Party night, Negro",Laura Cañero,Body negro efecto brillante ,Pull&Bear,S,Tops,,Party night,,Negro,,"9,97",cubyn-fulfillment,3,"12,99",,
#1071,3.1071.15,Woman,"Woman, Zara, S, Abrigos | Chaquetas, Streetwear, Rockero, Negro",Laura Cañero,Chaqueta negra efecto piel hombros ,Zara,S,Abrigos | Chaquetas,,Streetwear,Rockero,Negro,,"9,97",cubyn-fulfillment,3,"12,99",,
#1071,3.1071.16,Woman,"Woman, Pull&Bear, S, Tops, Streetwear, Marrón",Laura Cañero,Top marrón de canalé (NUEVO) ,Pull&Bear,S,Tops,,Streetwear,,Marrón,,"8,44",cubyn-fulfillment,3,"10,99",,
#1071,3.1071.17,Woman,"Woman, Zara, XS, Pantalones, Streetwear, Beige",Laura Cañero,Pantalón beige tipo cargo,Zara,XS,Pantalones,,Streetwear,,Beige,,"11,51",cubyn-fulfillment,3,"14,99",,
,,,,,,,,,,,,,,"0,00",cubyn-fulfillment,,,,
,,,,prueba,Abrigo negro satinado,Michael Kors,M,Abrigos | Chaquetas,,Básicos,,Negro,,"0,00",cubyn-fulfillment,,,,
,,,,,Abrigo beige de pelo,Boohoo,38,Abrigos | Chaquetas,,Eventos,,Beige,,"0,00",cubyn-fulfillment,,,,
,,,,,Gabardina marrón con mangas verdes,Laagam,S,Abrigos | Chaquetas,,Casual,,Marrón,Verde,"0,00",cubyn-fulfillment,,,,
,,,,,Vestido rojo ajustado,Zara,M,Vestidos,Vestidos mini,Party night,,Rojo,,"0,00",cubyn-fulfillment,,,,
,,,,,Top negro tipo corset ,Boohoo,36,Tops,Crop tops,Party night,Eventos,Negro,,"0,00",cubyn-fulfillment,,,,
,,,,,,,,,,,,,,"0,00",cubyn-fulfillment,,,,
,,,,,,,,,,,,,,"0,00",cubyn-fulfillment,,,,
#1072,3.1072.01,Woman,"Woman, Guess, S, Abrigos | Chaquetas, Chaquetas | Cazadoras, Streetwear, Rosa",Bárbara Pérez,Abrigo Rosa reversible GUESS ,Guess,S,Abrigos | Chaquetas,Chaquetas | Cazadoras,Streetwear,,Rosa,,"92,12",cubyn-fulfillment,3,"119,99",,
#1072,3.1072.02,Woman,"Woman, Maje, S, Blazers, Casual, Rosa",Bárbara Pérez,Blazer rosa MAJE (NUEVO),Maje,S,Blazers,,Casual,,Rosa,,"153,54",cubyn-fulfillment,3,"199,99",,
#1072,3.1072.03,Woman,"Woman, Bershka, M, Abrigos | Chaquetas, Abrigos, Casual, Beige",Bárbara Pérez,Gabardina beige ,Bershka,M,Abrigos | Chaquetas,Abrigos,Casual,,Beige,,"19,19",cubyn-fulfillment,3,"24,99",,
#1072,3.1072.04,Woman,"Woman, Otras marcas, One size, Lencería | Pijamas, Comfy, Rosa",Bárbara Pérez,Sujetador rosa ,Otras marcas,One size,Lencería | Pijamas,,Comfy,,Rosa,,"6,90",cubyn-fulfillment,3,"8,99",,
#1072,3.1072.05,Woman,"Woman, Maje, L, Tops, Crop tops, Casual, Negro",Bárbara Pérez,Top negro estampado MAJE,Maje,L,Tops,Crop tops,Casual,,Negro,,"38,38",cubyn-fulfillment,3,"49,99",,
#1072,3.1072.06,Woman,"Woman, Zara, M, Tops, Crop tops, Casual, Party night, Marrón",Bárbara Pérez,Top marrón transparente,Zara,M,Tops,Crop tops,Casual,Party night,Marrón,,"11,51",cubyn-fulfillment,3,"14,99",,
#1072,3.1072.07,Woman,"Woman, Otras marcas, One size, Chalecos, Comfy, Naranja",Bárbara Pérez,Chaleco naranja de flecos ,Otras marcas,One size,Chalecos,,Comfy,,Naranja,,"9,97",cubyn-fulfillment,3,"12,99",,
#1072,3.1072.08,Woman,"Woman, Pull&Bear, M, Tops, Crop tops, Party night, Casual, Azul",Bárbara Pérez,Top azul strapless ,Pull&Bear,M,Tops,Crop tops,Party night,Casual,Azul,,"6,90",cubyn-fulfillment,3,"8,99",,
#1072,3.1072.09,Woman,"Woman, Luxe To Kill , 38, Faldas, Faldas mini, Streetwear, Beige",Bárbara Pérez,Falda beige (NUEVO),Luxe To Kill ,38,Faldas,Faldas mini,Streetwear,,Beige,,"23,02",cubyn-fulfillment,3,"29,99",,
#1072,3.1072.10,Woman,"Woman, Maje, 36, Pantalones, Deporte, Sportwear, Azul marino",Bárbara Pérez,Pantalón corto azul impermeable,Maje,36,Pantalones,Deporte,Sportwear,,Azul marino,,"30,70",cubyn-fulfillment,3,"39,99",,
#1072,3.1072.11,Woman,"Woman, Bershka, M, Pantalones, Pantalones polipiel, Streetwear, Rockero, Negro, Multicolor",Bárbara Pérez,Pantalón negro efecto piel ,Bershka,M,Pantalones,Pantalones polipiel,Streetwear,Rockero,Negro,Multicolor,"15,35",cubyn-fulfillment,3,"19,99",,
#1072,3.1072.12,Woman,"Woman, Bershka, 38, Jeans, Wide Leg, Denim, Marrón",Bárbara Pérez,Jeans marrón ,Bershka,38,Jeans,Wide Leg,Denim,,Marrón,,"9,97",cubyn-fulfillment,3,"12,99",,
#1072,3.1072.13,Woman,"Woman, H&M, 40, Pantalones, Pantalones cargo, Streetwear, Negro",Bárbara Pérez,Pantalón negro tipo cargo ,H&M,40,Pantalones,Pantalones cargo,Streetwear,,Negro,,"9,97",cubyn-fulfillment,3,"12,99",,
#1072,3.1072.14,Woman,"Woman, Alix , One size, Bolsos, Bolsos de hombro, Casual, Verde",Bárbara Pérez,Bolso verde de flecos (NUEVO),Alix ,One size,Bolsos,Bolsos de hombro,Casual,,Verde,,"38,38",cubyn-fulfillment,3,"49,99",,
#1072,3.1072.15,Woman,"Woman, Otras marcas, One size, Accesorios, Bisutería, Casual, Dorado",Bárbara Pérez,Gargantilla dorada de tela,Otras marcas,One size,Accesorios,Bisutería,Casual,,Dorado,,"6,90",cubyn-fulfillment,3,"8,99",,
#1072,3.1072.16,Woman,"Woman, Otras marcas, One size, Accesorios, Pañuelos | Bufandas, Casual, Lila, Amarillo",Bárbara Pérez,Pack de horquillas ,Otras marcas,One size,Accesorios,Pañuelos | Bufandas,Casual,,Lila,Amarillo,"6,90",cubyn-fulfillment,2,"8,99",,
#1072,3.1072.17,Woman,"Woman, Otras marcas, One size, Accesorios, Gafas de sol, Streetwear, Negro",Bárbara Pérez,Gafas de sol negras rectangular ,Otras marcas,One size,Accesorios,Gafas de sol,Streetwear,,Negro,,"6,90",cubyn-fulfillment,3,"8,99",,
#1072,3.1072.18,Woman,"Woman, Otras marcas, One size, Accesorios, Gafas de sol, Casual, Negro",Bárbara Pérez,Gafas de sol negras ,Otras marcas,One size,Accesorios,Gafas de sol,Casual,,Negro,,"6,90",cubyn-fulfillment,3,"8,99",,
#1073,3.1073.01,Woman,"Woman, Arizona Vintage, 16, Abrigos | Chaquetas, Chaquetas | Cazadoras, Streetwear, Verde",Nuria Blanco,Chaqueta bomber verde (NUEVO),Arizona Vintage,16,Abrigos | Chaquetas,Chaquetas | Cazadoras,Streetwear,,Verde,,"22,26",cubyn-fulfillment,3,"28,99",,
#1073,3.1073.02,Woman,"Woman, Vitrallet Studio, S, Lencería | Pijamas, Comfy, Negro",Nuria Blanco,Camisón de pijama negro (NUEVO),Vitrallet Studio,S,Lencería | Pijamas,,Comfy,,Negro,,"11,51",cubyn-fulfillment,3,"14,99",,
#1073,3.1073.03,Woman,"Woman, Thinking Mu, XS, Sudaderas, sin capucha, Streetwear, Verde",Nuria Blanco,Sudadera verde ,Thinking Mu,XS,Sudaderas,sin capucha,Streetwear,,Verde,,"6,90",cubyn-fulfillment,3,"8,99",,Marcas de uso: marcas no reconocibles
#1073,3.1073.04,Woman,"Woman, Maje, 36, Abrigos | Chaquetas, Chaquetas | Cazadoras, Denim, Azul",Nuria Blanco,Chaqueta vaquera con pedrería MAJE,Maje,36,Abrigos | Chaquetas,Chaquetas | Cazadoras,Denim,,Azul,,"172,74",cubyn-fulfillment,3,"224,99",,
#1073,3.1073.05,Woman,"Woman, Otras marcas, One size, Tops, Crop tops, Boho, Blanco",Nuria Blanco,Top blanco de crochet,Otras marcas,One size,Tops,Crop tops,Boho,,Blanco,,"6,90",cubyn-fulfillment,3,"8,99",,
#1073,3.1073.06,Woman,"Woman, Alohas , S, Vestidos, Vestidos midi, Casual, Negro",Nuria Blanco,Vestido negro espalda descubierta NUEVO,Alohas ,S,Vestidos,Vestidos midi,Casual,,Negro,,"15,35",cubyn-fulfillment,3,"19,99",,
#1073,3.1073.07,Woman,"Woman, Brandy Melville, One size, Jerséis | Cárdigans, Comfy, Negro",Nuria Blanco,Cardigan negro ,Brandy Melville,One size,Jerséis | Cárdigans,,Comfy,,Negro,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.08,Woman,"Woman, NA-KD, XS, Tops, Crop tops, Streetwear, Blanco",Nuria Blanco,Top blanco anudado en espalda ,NA-KD,XS,Tops,Crop tops,Streetwear,,Blanco,,"11,51",cubyn-fulfillment,3,"14,99",,
#1073,3.1073.09,Woman,"Woman, Otras marcas, One size, Vestidos, Vestidos largos, Casual, Rosa, Multicolor",Nuria Blanco,Vestido colores espalda descubierta ,Otras marcas,One size,Vestidos,Vestidos largos,Casual,,Rosa,Multicolor,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.10,Woman,"Woman, High Spirits, S, Tops, Crop tops, Streetwear, Naranja",Nuria Blanco,Top naranja ,High Spirits,S,Tops,Crop tops,Streetwear,,Naranja,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.11,Woman,"Woman, Zara, XS/S, Tops, Bodies, Streetwear, Verde",Nuria Blanco,Body verde de canalé,Zara,XS/S,Tops,Bodies,Streetwear,,Verde,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.12,Woman,"Woman, Luxe To Kill , S, Tops, Crop tops, Streetwear, Blanco",Nuria Blanco,Top blanco asimetríco NUEVO,Luxe To Kill ,S,Tops,Crop tops,Streetwear,,Blanco,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.13,Woman,"Woman, Vrg Grl, 6, Tops, Streetwear, Amarillo",Nuria Blanco,Top jersey amarillo ,Vrg Grl,6,Tops,,Streetwear,,Amarillo,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.14,Woman,"Woman, Gentle Woman, One size, Tops, Streetwear, Blanco",Nuria Blanco,Mangas blancas de punto,Gentle Woman,One size,Tops,,Streetwear,,Blanco,,"22,26",cubyn-fulfillment,3,"28,99",,
#1073,3.1073.15,Woman,"Woman, My Mum Made It, 6, Tops, Crop tops, Streetwear, Blanco",Nuria Blanco,Top blanco ,My Mum Made It,6,Tops,Crop tops,Streetwear,,Blanco,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.16,Woman,"Woman, Zara, S, Tops, Crop tops, Streetwear, Blanco",Nuria Blanco,Top blanco de punto ,Zara,S,Tops,Crop tops,Streetwear,,Blanco,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.17,Woman,"Woman, Joseph, XS, Camisetas, Básicos, Streetwear, Verde",Nuria Blanco,Camiseta verde ,Joseph,XS,Camisetas,,Básicos,Streetwear,Verde,,"19,19",cubyn-fulfillment,3,"24,99",,
#1073,3.1073.18,Woman,"Woman, Zara, S, Vestidos, Vestidos largos, Casual, Beige, Multicolor",Nuria Blanco,Vestido beige de rayas ,Zara,S,Vestidos,Vestidos largos,Casual,,Beige,Multicolor,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.19,Woman,"Woman, Colourful Rebel, S, Sudaderas, sin capucha, Streetwear, Azul",Nuria Blanco,Sudadera azul estampada ,Colourful Rebel,S,Sudaderas,sin capucha,Streetwear,,Azul,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.20,Woman,"Woman, American Eagle, XS/S, Jerséis | Cárdigans, Comfy, Blanco",Nuria Blanco,Jersey blanco rayas colores ,American Eagle,XS/S,Jerséis | Cárdigans,,Comfy,,Blanco,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.21,Woman,"Woman, Designer Society , S, Abrigos | Chaquetas, Chaquetas | Cazadoras, Casual, Streetwear, Beige",Nuria Blanco,Chaqueta beige acolchada ,Designer Society ,S,Abrigos | Chaquetas,Chaquetas | Cazadoras,Casual,Streetwear,Beige,,"52,97",cubyn-fulfillment,3,"68,99",,
#1073,3.1073.22,Woman,"Woman, Russell, XXL, Sudaderas, sin capucha, Streetwear, Azul",Nuria Blanco,Sudadera azul ,Russell,XXL,Sudaderas,sin capucha,Streetwear,,Azul,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.23,Woman,"Woman, Kaporal, S, Camisetas, Streetwear, Verde",Nuria Blanco,Camiseta verde fluida ,Kaporal,S,Camisetas,,Streetwear,,Verde,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.24,Woman,"Woman, Otras marcas, S/M, Tops, Crop tops, Streetwear, Verde",Nuria Blanco,Top verde detalle en mangas ,Otras marcas,S/M,Tops,Crop tops,Streetwear,,Verde,,"6,90",cubyn-fulfillment,3,"8,99",,
#1073,3.1073.25,Woman,"Woman, Pimkie, 36, Vestidos, Vestidos mini, Casual, Boho, Negro",Nuria Blanco,Vestido negro fluido NUEVO,Pimkie,36,Vestidos,Vestidos mini,Casual,Boho,Negro,,"13,04",cubyn-fulfillment,3,"16,99",,
#1073,3.1073.26,Woman,"Woman, Bershka, S, Tops, Bodies, Streetwear, Verde",Nuria Blanco,Body verde estampado flores ,Bershka,S,Tops,Bodies,Streetwear,,Verde,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.27,Woman,"Woman, Zara, S, Tops, Crop tops, Streetwear, Marrón",Nuria Blanco,Top marrón de canalé,Zara,S,Tops,Crop tops,Streetwear,,Marrón,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.28,Woman,"Woman, Uniqlo, S, Camisetas, Básicos, Azul marino",Nuria Blanco,Camiseta azul manga larga ,Uniqlo,S,Camisetas,,Básicos,,Azul marino,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.29,Woman,"Woman, Zara, M, Vestidos, Vestidos mini, Casual, Negro",Nuria Blanco,Vestido negro de terciopelo ,Zara,M,Vestidos,Vestidos mini,Casual,,Negro,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.30,Woman,"Woman, Tiger Mist , XS, Tops, Crop tops, Streetwear, Rockero, Marrón",Nuria Blanco,Top marrón efecto piel ,Tiger Mist ,XS,Tops,Crop tops,Streetwear,Rockero,Marrón,,"26,86",cubyn-fulfillment,3,"34,99",,
#1073,3.1073.31,Woman,"Woman, Brownie, XXS, Monos | Petos, Streetwear, Blanco",Nuria Blanco,Peto blanco ,Brownie,XXS,Monos | Petos,,Streetwear,,Blanco,,"23,02",cubyn-fulfillment,3,"29,99",,
#1073,3.1073.32,Woman,"Woman, YERSE, M, Camisetas, Básicos, Blanco",Nuria Blanco,Camiseta blanca estampada ,YERSE,M,Camisetas,,Básicos,,Blanco,,"7,67",cubyn-fulfillment,3,"9,99",,Marcas de maquillaje
#1073,3.1073.33,Woman,"Woman, Subdued, One size, Jerséis | Cárdigans, Streetwear, Comfy, Blanco",Nuria Blanco,Cardigan blanco de canalé NUEVO,Subdued,One size,Jerséis | Cárdigans,,Streetwear,Comfy,Blanco,,"11,51",cubyn-fulfillment,3,"14,99",,
#1073,3.1073.34,Woman,"Woman, Adika , S, Lencería | Pijamas, Comfy, Rosa",Nuria Blanco,Pijama rosa enteriza ,Adika ,S,Lencería | Pijamas,,Comfy,,Rosa,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.35,Woman,"Woman, 8 Birdies , One size, Jerséis | Cárdigans, Boho, Casual, Blanco",Nuria Blanco,Cárdigan blanco anudado de punto,8 Birdies ,One size,Jerséis | Cárdigans,,Boho,Casual,Blanco,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.36,Woman,"Woman, Adika, M, Tops, Crop tops, Streetwear, Blanco",Nuria Blanco,Top blanco de canalé,Adika,M,Tops,Crop tops,Streetwear,,Blanco,,"3,83",cubyn-fulfillment,3,"4,99",,
#1073,3.1073.37,Woman,"Woman, Adika , S, Tops, Crop tops, Streetwear, Negro",Nuria Blanco,Top negro tipo polo ,Adika ,S,Tops,Crop tops,Streetwear,,Negro,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.38,Woman,"Woman, Vitrallet Studio, S, Vestidos, Vestidos mini, Party night, Casual, Verde",Nuria Blanco,Vestido verde fruncido ,Vitrallet Studio,S,Vestidos,Vestidos mini,Party night,Casual,Verde,,"7,67",cubyn-fulfillment,3,"9,99",,Manchas sin identificar
#1073,3.1073.39,Woman,"Woman, Charter, One size, Jerséis | Cárdigans, Comfy, Azul",Nuria Blanco,Cárdigan azul cremallera asimétrica ,Charter,One size,Jerséis | Cárdigans,,Comfy,,Azul,,"13,81",cubyn-fulfillment,3,"17,99",,
#1073,3.1073.40,Woman,"Woman, Otras marcas, One size, Tops, Bodies, Party night, Negro",Nuria Blanco,Body negro transparente,Otras marcas,One size,Tops,Bodies,Party night,,Negro,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.41,Woman,"Woman, Otras marcas, S/M, Tops, Party night, Rosa",Nuria Blanco,Top rosa fruncido ,Otras marcas,S/M,Tops,,Party night,,Rosa,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.42,Woman,"Woman, Otras marcas, One size, Accesorios, Pañuelos | Bufandas, Casual, Azul, Multicolor",Nuria Blanco,Pañuelo de rayas ,Otras marcas,One size,Accesorios,Pañuelos | Bufandas,Casual,,Azul,Multicolor,"5,37",cubyn-fulfillment,2,"6,99",,
#1073,3.1073.43,Woman,"Woman, Brownie, One size, Accesorios, Pañuelos | Bufandas, Streetwear, Rosa",Nuria Blanco,Pañuelo rosa ,Brownie,One size,Accesorios,Pañuelos | Bufandas,Streetwear,,Rosa,,"5,37",cubyn-fulfillment,2,"6,99",,
#1073,3.1073.44,Woman,"Woman, NA-KD, XS, Tops, Crop tops, Streetwear, Verde",Nuria Blanco,Top jersey verde ,NA-KD,XS,Tops,Crop tops,Streetwear,,Verde,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.45,Woman,"Woman, NA-KD, XS, Tops, Crop tops, Streetwear, Verde",Nuria Blanco,Top verde de canalé espalda anudada,NA-KD,XS,Tops,Crop tops,Streetwear,,Verde,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.46,Woman,"Woman, NA-KD, XS, Tops, Crop tops, Streetwear, Casual, Negro",Nuria Blanco,Top negro anudado ,NA-KD,XS,Tops,Crop tops,Streetwear,Casual,Negro,,"9,97",cubyn-fulfillment,3,"12,99",,
#1073,3.1073.47,Woman,"Woman, Adika , XS, Tops, Crop tops, Streetwear, Verde",Nuria Blanco,Top verde transparente ,Adika ,XS,Tops,Crop tops,Streetwear,,Verde,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.48,Woman,"Woman, Joah Brown , XS/S, Tops, Crop tops, Streetwear, Negro",Nuria Blanco,Top negro ,Joah Brown ,XS/S,Tops,Crop tops,Streetwear,,Negro,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.49,Woman,"Woman, Bdg, S, Tops, Crop tops, Streetwear, Naranja",Nuria Blanco,Top naranja de canalé ,Bdg,S,Tops,Crop tops,Streetwear,,Naranja,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.50,Woman,"Woman, Storets , S, Tops, Crop tops, Streetwear, Blanco",Nuria Blanco,Top blanco asimetríco de canalé,Storets ,S,Tops,Crop tops,Streetwear,,Blanco,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.51,Woman,"Woman, Yerse , S, Chalecos, Comfy, Blanco",Nuria Blanco,Chaleco blanco de punto ,Yerse ,S,Chalecos,,Comfy,,Blanco,,"19,19",cubyn-fulfillment,3,"24,99",,
