Vendedor,SKU,Sexo,Tags,Vendedor,Nombre,Marca,Talla,Categoría,Subcategoría,Estilo,Estilo 2 (opcional),Color,Color (opcional),Precio Influ,Inventory,# Fotos,Precio Final,Fecha,Descripción
#1073,3.1073.52,Woman,"Woman, Adika , XS, Pantalones, Pantalones fluidos, Casual, Azul",Nuria Blanco,Pantalón azul satinado ,Adika ,XS,Pantalones,Pantalones fluidos,Casual,,Azul,,"9,97",cubyn-fulfillment,3,"12,99",,
#1073,3.1073.53,Woman,"Woman, Guess, 25, Jeans, Pitillo, Denim, Negro",Nuria Blanco,Jeans negro GUESS ,Guess,25,Jeans,Pitillo,Denim,,Negro,,"20,72",cubyn-fulfillment,3,"26,99",,
#1073,3.1073.54,Woman,"Woman, Charcoal , 4, Faldas, Faldas mini, Casual, Marrón",Nuria Blanco,Falda marrón NUEVO,Charcoal ,4,Faldas,Faldas mini,Casual,,Marrón,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.55,Woman,"Woman, Ntb , XS, Pantalones, Pantalones de vestir, Casual, Gris",Nuria Blanco,Pantalón gris de vestir,Ntb ,XS,Pantalones,Pantalones de vestir,Casual,,Gris,,"11,51",cubyn-fulfillment,3,"14,99",,
#1073,3.1073.56,Woman,"Woman, Subdued, 23, Shorts, Shorts denim, Denim, Azul",Nuria Blanco,Short jeans azul ,Subdued,23,Shorts,Shorts denim,Denim,,Azul,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.57,Woman,"Woman, Rats&Banana, XL, Tops, Crop tops, Streetwear, Casual, Naranja",Nuria Blanco,Top naranja asimétrico ,Rats&Banana,XL,Tops,Crop tops,Streetwear,Casual,Naranja,,"9,97",cubyn-fulfillment,3,"12,99",,
#1073,3.1073.58,Woman,"Woman, Oh My, One size, Tops, Crop tops, Streetwear, Negro",Nuria Blanco,Top negro de canalé,Oh My,One size,Tops,Crop tops,Streetwear,,Negro,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.59,Woman,"Woman, Jaded , 32, Pantalones, Pantalones de punto, Beachwear, Multicolor",Nuria Blanco,Pantalón corto colores de punto,Jaded ,32,Pantalones,Pantalones de punto,Beachwear,,Multicolor,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.60,Woman,"Woman, Kaporal, S, Abrigos | Chaquetas, Chaquetas | Cazadoras, Denim, Azul",Nuria Blanco,Chaqueta vaquera de borrego KAPORAL NUEVO,Kaporal,S,Abrigos | Chaquetas,Chaquetas | Cazadoras,Denim,,Azul,,"29,93",cubyn-fulfillment,3,"38,99",,
#1073,3.1073.61,Woman,"Woman, Cala , One size, Monos | Petos, Casual, Streetwear, Multicolor",Nuria Blanco,Mono colores de pelo ,Cala ,One size,Monos | Petos,,Casual,Streetwear,Multicolor,,"9,97",cubyn-fulfillment,3,"12,99",,
#1073,3.1073.62,Woman,"Woman, Carhartt, XS, Monos | Petos, Streetwear, Marrón",Nuria Blanco,Peto marrón,Carhartt,XS,Monos | Petos,,Streetwear,,Marrón,,"53,74",cubyn-fulfillment,3,"69,99",,
#1073,3.1073.63,Woman,"Woman, Zara, M, Jerséis | Cárdigans, Comfy, Beige",Nuria Blanco,Jersey beige over size,Zara,M,Jerséis | Cárdigans,,Comfy,,Beige,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.64,Woman,"Woman, Inalbis , S, Pantalones, Pantalones estampados, Casual, Multicolor",Nuria Blanco,Pantalón estampado transparente,Inalbis ,S,Pantalones,Pantalones estampados,Casual,,Multicolor,,"11,51",cubyn-fulfillment,3,"14,99",,
#1073,3.1073.65,Woman,"Woman, Tipi, S/M, Faldas, Faldas mini, Party night, Casual, Verde",Nuria Blanco,Falda verde brillante cruzada ,Tipi,S/M,Faldas,Faldas mini,Party night,Casual,Verde,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.66,Woman,"Woman, J Galt, 32, Faldas, Faldas mini, Casual, Blanco",Nuria Blanco,Falda azul de cuadros ,J Galt,32,Faldas,Faldas mini,Casual,,Blanco,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.67,Woman,"Woman, Jyoset, S, Pantalones, Pantalones de vestir, Party night, Casual, Blanco",Nuria Blanco,Pantalón blanco anudado ,Jyoset,S,Pantalones,Pantalones de vestir,Party night,Casual,Blanco,,"9,97",cubyn-fulfillment,3,"12,99",,Marcas de polvo
#1073,3.1073.68,Woman,"Woman, Charcoal, 4, Faldas, Faldas mini, Casual, Verde",Nuria Blanco,Falda verde drapeada,Charcoal,4,Faldas,Faldas mini,Casual,,Verde,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.69,Woman,"Woman, Susmies , One size, Faldas, Faldas mini, Beachwear, Negro",Nuria Blanco,Falda negra de punto ,Susmies ,One size,Faldas,Faldas mini,Beachwear,,Negro,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.70,Woman,"Woman, Yerse , XS, Pantalones, Pantalones de pana, Vintage, Granate",Nuria Blanco,Pantalón granate de pana NUEVO,Yerse ,XS,Pantalones,Pantalones de pana,Vintage,,Granate,,"38,38",cubyn-fulfillment,3,"49,99",,
#1073,3.1073.71,Woman,"Woman, Thinking Mu, XS, Faldas, Faldas mini, Casual, Azul",Nuria Blanco,Falda azul fruncida ,Thinking Mu,XS,Faldas,Faldas mini,Casual,,Azul,,"19,19",cubyn-fulfillment,3,"24,99",,
#1073,3.1073.72,Woman,"Woman, Brunet , S, Pantalones, Pantalones de vestir, Casual, Verde",Nuria Blanco,Pantalón corto verde ,Brunet ,S,Pantalones,Pantalones de vestir,Casual,,Verde,,"11,51",cubyn-fulfillment,3,"14,99",,
#1073,3.1073.73,Woman,"Woman, Laagam, XS, Pantalones, Pantalones estampados, Casual, Multicolor",Nuria Blanco,Pantalón corto de colores ,Laagam,XS,Pantalones,Pantalones estampados,Casual,,Multicolor,,"19,19",cubyn-fulfillment,3,"24,99",,
#1073,3.1073.74,Woman,"Woman, Live Aid , One size, Pantalones, Pantalones de vestir, Casual, Blanco",Nuria Blanco,Pantalón blanco corto de rayas ,Live Aid ,One size,Pantalones,Pantalones de vestir,Casual,,Blanco,,"3,83",cubyn-fulfillment,3,"4,99",,
#1073,3.1073.75,Woman,"Woman, Storets , S/M, Pantalones, Deporte, Comfy, Azul",Nuria Blanco,Pantalón corto azul ,Storets ,S/M,Pantalones,Deporte,Comfy,,Azul,,"9,97",cubyn-fulfillment,3,"12,99",,
#1073,3.1073.76,Woman,"Woman, Subdued, 24, Jeans, Wide Leg, Denim, Marrón",Nuria Blanco,Jeans marrón ,Subdued,24,Jeans,Wide Leg,Denim,,Marrón,,"11,51",cubyn-fulfillment,3,"14,99",,
#1073,3.1073.77,Woman,"Woman, You Look Awesome, XS, Faldas, Faldas mini, Casual, Azul",Nuria Blanco,Falda azul de flecos ,You Look Awesome,XS,Faldas,Faldas mini,Casual,,Azul,,"11,51",cubyn-fulfillment,3,"14,99",,
#1073,3.1073.78,Woman,"Woman, Nunoo, M, Pantalones, Deporte, Sportwear, Morado",Nuria Blanco,Pantalón de chandal morado,Nunoo,M,Pantalones,Deporte,Sportwear,,Morado,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.79,Woman,"Woman, Rats&Banana, XS, Pantalones, Pantalones estampados, Casual, Streetwear, Blanco, Gris",Nuria Blanco,Pantalón de cuadros ,Rats&Banana,XS,Pantalones,Pantalones estampados,Casual,Streetwear,Blanco,Gris,"9,97",cubyn-fulfillment,3,"12,99",,
#1073,3.1073.80,Woman,"Woman, Zara, S, Pantalones, Pantalones de punto, Comfy, Blanco",Nuria Blanco,Pantalón blanco de canalé,Zara,S,Pantalones,Pantalones de punto,Comfy,,Blanco,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.81,Woman,"Woman, Subdued, XS, Pantalones, Pantalones de pana, Streetwear, Blanco",Nuria Blanco,Pantalón blanco de pana ,Subdued,XS,Pantalones,Pantalones de pana,Streetwear,,Blanco,,"11,51",cubyn-fulfillment,3,"14,99",,
#1073,3.1073.82,Woman,"Woman, Mya, 34, Bañadores | Bikinis, Bañadores, Beachwear, Azul",Nuria Blanco,Falda azul de lycra ,Mya,34,Bañadores | Bikinis,Bañadores,Beachwear,,Azul,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.83,Woman,"Woman, Levi's, W26/L26, Jeans, Tiro alto, Denim, Azul",Nuria Blanco,Jeans azul LEVIS,Levi's,W26/L26,Jeans,Tiro alto,Denim,,Azul,,"30,70",cubyn-fulfillment,3,"39,99",,
#1073,3.1073.84,Woman,"Woman, Otras marcas, S, Faldas, Faldas mini, Casual, Negro, Blanco",Nuria Blanco,Falda de rayas fluida ,Otras marcas,S,Faldas,Faldas mini,Casual,,Negro,Blanco,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.85,Woman,"Woman, Otras marcas, One size, Vestidos, Vestidos mini, Casual, Party night, Negro",Nuria Blanco,Vestido negro de straplee ,Otras marcas,One size,Vestidos,Vestidos mini,Casual,Party night,Negro,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.86,Woman,"Woman, Born, S, Conjuntos, Sportwear, Azul",Nuria Blanco,Conjunto azul depotivo ,Born,S,Conjuntos,,Sportwear,,Azul,,"23,02",cubyn-fulfillment,3,"29,99",,
#1073,3.1073.87,Woman,"Woman, Missguided, 32, Lencería | Pijamas, Comfy, Rosa",Nuria Blanco,Conjunto de pijama rosa ,Missguided,32,Lencería | Pijamas,,Comfy,,Rosa,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.88,Woman,"Woman, Kurt Geiger, 37, Calzado, Sandalias, Comfy, Rosa",Nuria Blanco,Sandalias rosa acolchadas,Kurt Geiger,37,Calzado,Sandalias,Comfy,,Rosa,,"61,41",cubyn-fulfillment,3,"79,99",,
#1073,3.1073.90,Woman,"Woman, C'M, 37, Calzado, Sandalias, Casual, Negro",Nuria Blanco,Sandalias negras de tacón ,C'M,37,Calzado,Sandalias,Casual,,Negro,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.91,Woman,"Woman, NA-KD, 37, Calzado, Sandalias, Casual, Verde",Nuria Blanco,Sandalias verde de tacón ,NA-KD,37,Calzado,Sandalias,Casual,,Verde,,"15,35",cubyn-fulfillment,3,"19,99",,
#1073,3.1073.92,Woman,"Woman, Dr. Martens, 37, Calzado, Sandalias, Comfy, Negro",Nuria Blanco,Sandalias negras Dr. Martens,Dr. Martens,37,Calzado,Sandalias,Comfy,,Negro,,"61,41",cubyn-fulfillment,3,"79,99",,
#1073,3.1073.93,Woman,"Woman, Vienty, 37, Calzado, Botines, Casual, Beige",Nuria Blanco,Botines beige de anté,Vienty,37,Calzado,Botines,Casual,,Beige,,"11,51",cubyn-fulfillment,3,"14,99",,
#1073,3.1073.94,Woman,"Woman, Ugg, 37, Calzado, Botines, Comfy, Beige",Nuria Blanco,UGG mini beige ,Ugg,37,Calzado,Botines,Comfy,,Beige,,"92,12",cubyn-fulfillment,3,"119,99",,
#1073,3.1073.95,Woman,"Woman, Nundoo , One size, Bolsos, Bandoleras, Casual, Azul",Nuria Blanco,Bolso mini azul ,Nundoo ,One size,Bolsos,Bandoleras,Casual,,Azul,,"15,35",cubyn-fulfillment,3,"19,99",,
#1073,3.1073.96,Woman,"Woman, Cold Flower Cartel, S/M, Accesorios, Gorros | Gorras, Streetwear, Azul, Blanco",Nuria Blanco,Buket hat blanco y azul ,Cold Flower Cartel,S/M,Accesorios,Gorros | Gorras,Streetwear,,Azul,Blanco,"5,37",cubyn-fulfillment,2,"6,99",,
#1073,3.1073.97,Woman,"Woman, Summery , One size, Accesorios, Gorros | Gorras, Streetwear, Azul",Nuria Blanco,Buket hat estampado azul ,Summery ,One size,Accesorios,Gorros | Gorras,Streetwear,,Azul,,"5,37",cubyn-fulfillment,2,"6,99",,
#1073,3.1073.98,Woman,"Woman, Otras marcas, One size, Accesorios, Gorros | Gorras, Streetwear, Rojo",Nuria Blanco,Buket hat rojo ,Otras marcas,One size,Accesorios,Gorros | Gorras,Streetwear,,Rojo,,"5,37",cubyn-fulfillment,2,"6,99",,
#1073,3.1073.99,Woman,"Woman, You Look Awesome, S, Accesorios, Gorros | Gorras, Streetwear, Azul, Rosa",Nuria Blanco,Buket hat tie dye ,You Look Awesome,S,Accesorios,Gorros | Gorras,Streetwear,,Azul,Rosa,"5,37",cubyn-fulfillment,2,"6,99",,
#1073,3.1073.100,Woman,"Woman, Russel , One size, Accesorios, Gorros | Gorras, Streetwear, Beige",Nuria Blanco,Gorro beige de punto ,Russel ,One size,Accesorios,Gorros | Gorras,Streetwear,,Beige,,"6,13",cubyn-fulfillment,2,"7,99",,
#1073,3.1073.101,Woman,"Woman, NA-KD, XS/S, Accesorios, Gorros | Gorras, Streetwear, Gris",Nuria Blanco,Buket hat gris de peluche ,NA-KD,XS/S,Accesorios,Gorros | Gorras,Streetwear,,Gris,,"5,37",cubyn-fulfillment,2,"6,99",,
#1073,3.1073.102,Woman,"Woman, Otras marcas, One size, Accesorios, Gorros | Gorras, Streetwear, Verde",Nuria Blanco,Gorra verde ,Otras marcas,One size,Accesorios,Gorros | Gorras,Streetwear,,Verde,,"5,37",cubyn-fulfillment,2,"6,99",,Marcas de maquillaje
#1073,3.1073.103,Woman,"Woman, Bershka, One size, Accesorios, Gorros | Gorras, Streetwear, Azul",Nuria Blanco,Gorra azul ,Bershka,One size,Accesorios,Gorros | Gorras,Streetwear,,Azul,,"5,37",cubyn-fulfillment,2,"6,99",,
#1073,3.1073.104,Woman,"Woman, Otras marcas, One size, Accesorios, Gorros | Gorras, Streetwear, Azul",Nuria Blanco,Buket hat azul ,Otras marcas,One size,Accesorios,Gorros | Gorras,Streetwear,,Azul,,"5,37",cubyn-fulfillment,2,"6,99",,
#1073,3.1073.105,Woman,"Woman, Majorelle, M, Abrigos | Chaquetas, Abrigos, Casual, Beige",Nuria Blanco,Abrigo beige de pelo MAJORELLE,Majorelle,M,Abrigos | Chaquetas,Abrigos,Casual,,Beige,,"176,58",cubyn-fulfillment,3,"229,99",,
#1073,3.1073.106,Woman,"Woman, Adika, S, Abrigos | Chaquetas, Chaquetas | Cazadoras, Streetwear, Beige",Nuria Blanco,Chaqueta beige de pana acolchada ,Adika,S,Abrigos | Chaquetas,Chaquetas | Cazadoras,Streetwear,,Beige,,"19,19",cubyn-fulfillment,3,"24,99",,
#1073,3.1073.107,Woman,"Woman, Sandro, One size, Abrigos | Chaquetas, Abrigos, Casual, Negro",Nuria Blanco,Abrigo negro reversible de piel SANDRO,Sandro,One size,Abrigos | Chaquetas,Abrigos,Casual,,Negro,,"268,71",cubyn-fulfillment,3,"349,99",,
#1074,3.1074.01,Woman,"Woman, House of cb, S, Abrigos | Chaquetas, Abrigos, Casual, Eventos, Rosa",Jenn Muchelas,Abrigo rosa de pelo ,House of cb,S,Abrigos | Chaquetas,Abrigos,Casual,Eventos,Rosa,,"38,38",cubyn-fulfillment,3,"49,99",,
#1074,3.1074.02,Woman,"Woman, Meotine, S/M, Abrigos | Chaquetas, Chaquetas | Cazadoras, Casual, Verde",Jenn Muchelas,Chaqueta verde efecto piel ,Meotine,S/M,Abrigos | Chaquetas,Chaquetas | Cazadoras,Casual,,Verde,,"115,16",cubyn-fulfillment,3,"149,99",,
#1074,3.1074.03,Woman,"Woman, Sandro, S, Abrigos | Chaquetas, Chaquetas | Cazadoras, Casual, Verde",Jenn Muchelas,Chaqueta verde pata de gallo SANDRO,Sandro,S,Abrigos | Chaquetas,Chaquetas | Cazadoras,Casual,,Verde,,"214,96",cubyn-fulfillment,3,"279,99",,
#1074,3.1074.04,Woman,"Woman, Gateless, One size, Abrigos | Chaquetas, Chaquetas | Cazadoras, Streetwear, Verde",Jenn Muchelas,Chaqueta verde crop acolchada,Gateless,One size,Abrigos | Chaquetas,Chaquetas | Cazadoras,Streetwear,,Verde,,"26,86",cubyn-fulfillment,3,"34,99",,
#1074,3.1074.05,Woman,"Woman, 4Th Reckless, S, Abrigos | Chaquetas, Chaquetas | Cazadoras, Casual, Azul",Jenn Muchelas,Chaqueta azul efecto piel,4Th Reckless,S,Abrigos | Chaquetas,Chaquetas | Cazadoras,Casual,,Azul,,"17,65",cubyn-fulfillment,3,"22,99",,
#1074,3.1074.06,Woman,"Woman, Zara, XS, Abrigos | Chaquetas, Abrigos, Casual, Eventos, Negro",Jenn Muchelas,Abrigo negro de pelo,Zara,XS,Abrigos | Chaquetas,Abrigos,Casual,Eventos,Negro,,"20,72",cubyn-fulfillment,3,"26,99",,
#1074,3.1074.07,Woman,"Woman, Madam, M, Abrigos | Chaquetas, Abrigos, Casual, Negro",Jenn Muchelas,Abrigo negro brorrego ,Madam,M,Abrigos | Chaquetas,Abrigos,Casual,,Negro,,"17,65",cubyn-fulfillment,3,"22,99",,
#1074,3.1074.08,Woman,"Woman, Etam, S, Lencería | Pijamas, Comfy, Rojo",Jenn Muchelas,Camisón rojo satinado,Etam,S,Lencería | Pijamas,,Comfy,,Rojo,,"5,37",cubyn-fulfillment,3,"6,99",,
#1074,3.1074.09,Woman,"Woman, Tommy Hilfiger, L, Chalecos, Comfy, Básicos, Verde",Jenn Muchelas,Chaleco verde TOMMY HILFIGER,Tommy Hilfiger,L,Chalecos,,Comfy,Básicos,Verde,,"9,97",cubyn-fulfillment,3,"12,99",,
#1074,3.1074.10,Woman,"Woman, H&M, M, Chalecos, Comfy, Blanco",Jenn Muchelas,Chaleco blanco de punto ,H&M,M,Chalecos,,Comfy,,Blanco,,"7,67",cubyn-fulfillment,3,"9,99",,
#1074,3.1074.11,Woman,"Woman, Outfitbook, S, Tops, Crop tops, Streetwear, Negro",Jenn Muchelas,Top negro anudado de canalé,Outfitbook,S,Tops,Crop tops,Streetwear,,Negro,,"5,37",cubyn-fulfillment,3,"6,99",,
#1074,3.1074.12,Woman,"Woman, Brandy Melville, One size, Tops, Streetwear, Blanco",Jenn Muchelas,Top jersey blanco de canalé,Brandy Melville,One size,Tops,,Streetwear,,Blanco,,"7,67",cubyn-fulfillment,3,"9,99",,
#1074,3.1074.13,Woman,"Woman, Lpa, S, Jerséis | Cárdigans, Comfy, Verde",Jenn Muchelas,Cárdigan verde de punto,Lpa,S,Jerséis | Cárdigans,,Comfy,,Verde,,"7,67",cubyn-fulfillment,3,"9,99",,
#1074,3.1074.14,Woman,"Woman, Chosen By Tuchuzy, M/L, Blusas | Camisas, Casual, Básicos, Verde",Jenn Muchelas,Camisa de rayas ,Chosen By Tuchuzy,M/L,Blusas | Camisas,,Casual,Básicos,Verde,,"26,86",cubyn-fulfillment,3,"34,99",,
#1074,3.1074.15,Woman,"Woman, H&M, S, Tops, Crop tops, Party night, Eventos, Negro",Jenn Muchelas,Top negro asimétrico detalle flor ,H&M,S,Tops,Crop tops,Party night,Eventos,Negro,,"7,67",cubyn-fulfillment,3,"9,99",,
#1074,3.1074.16,Woman,"Woman, H&M, S, Jerséis | Cárdigans, Comfy, Azul",Jenn Muchelas,Jersey azul anudado,H&M,S,Jerséis | Cárdigans,,Comfy,,Azul,,"11,51",cubyn-fulfillment,3,"14,99",,
#1074,3.1074.17,Woman,"Woman, White Valentyne , S, Blusas | Camisas, Party night, Eventos, Verde",Jenn Muchelas,Blusa verde espalda descubierta,White Valentyne ,S,Blusas | Camisas,,Party night,Eventos,Verde,,"9,97",cubyn-fulfillment,3,"12,99",,
#1074,3.1074.18,Woman,"Woman, Primark, L, Sudaderas, sin capucha, Streetwear, Comfy, Blanco",Jenn Muchelas,Sudadera blanca ,Primark,L,Sudaderas,sin capucha,Streetwear,Comfy,Blanco,,"5,37",cubyn-fulfillment,3,"6,99",,
#1074,3.1074.19,Woman,"Woman, Nude Project, M, Sudaderas, con capucha, Streetwear, Beige",Jenn Muchelas,Sudadera beige estampada,Nude Project,M,Sudaderas,con capucha,Streetwear,,Beige,,"28,40",cubyn-fulfillment,3,"36,99",,
#1074,3.1074.20,Woman,"Woman, Women Secret , S, Vestidos, Casual, Blanco",Jenn Muchelas,Vestido blanco de punto,Women Secret ,S,Vestidos,,Casual,,Blanco,,"7,67",cubyn-fulfillment,3,"9,99",,
#1074,3.1074.21,Woman,"Woman, Motel , S, Tops, Crop tops, Party night, Beige",Jenn Muchelas,Top beige satinado ,Motel ,S,Tops,Crop tops,Party night,,Beige,,"7,67",cubyn-fulfillment,3,"9,99",,
#1074,3.1074.22,Woman,"Woman, H&M, XS, Tops, Crop tops, Party night, Eventos, Beige",Jenn Muchelas,Top beige detalle vuelo ,H&M,XS,Tops,Crop tops,Party night,Eventos,Beige,,"7,67",cubyn-fulfillment,3,"9,99",,
#1074,3.1074.23,Woman,"Woman, Otras marcas, One size, Tops, Crop tops, Party night, Plateado",Jenn Muchelas,Top plateado ,Otras marcas,One size,Tops,Crop tops,Party night,,Plateado,,"9,97",cubyn-fulfillment,3,"12,99",,
#1074,3.1074.24,Woman,"Woman, Zara, XS, Vestidos, Vestidos mini, Casual, Eventos, Negro",Jenn Muchelas,Vestido negro strapless NUEVO,Zara,XS,Vestidos,Vestidos mini,Casual,Eventos,Negro,,"23,02",cubyn-fulfillment,3,"29,99",,
#1074,3.1074.25,Woman,"Woman, Adika, S, Tops, Crop tops, Streetwear, Negro",Jenn Muchelas,Top negro tipo polo,Adika,S,Tops,Crop tops,Streetwear,,Negro,,"5,37",cubyn-fulfillment,3,"6,99",,
#1074,3.1074.26,Woman,"Woman, High Spirits, S, Abrigos | Chaquetas, Chaquetas | Cazadoras, Casual, Eventos, Negro",Jenn Muchelas,Chaqueta negra de terciopelo,High Spirits,S,Abrigos | Chaquetas,Chaquetas | Cazadoras,Casual,Eventos,Negro,,"23,02",cubyn-fulfillment,3,"29,99",,
#1074,3.1074.27,Woman,"Woman, Vitrallet Studio , S, Vestidos, Vestidos mini, Party night, Eventos, Negro",Jenn Muchelas,Vestido negro hombros descubierto NUEVO,Vitrallet Studio ,S,Vestidos,Vestidos mini,Party night,Eventos,Negro,,"17,65",cubyn-fulfillment,3,"22,99",,
#1074,3.1074.28,Woman,"Woman, Edikted, M, Conjuntos, Streetwear, Negro",Jenn Muchelas,Conjunto negro mangas y top ,Edikted,M,Conjuntos,,Streetwear,,Negro,,"9,97",cubyn-fulfillment,3,"12,99",,
#1074,3.1074.29,Woman,"Woman, Vitrallet Studio , S, Tops, Bodies, Casual, Eventos, Negro",Jenn Muchelas,Body negro asimétrico,Vitrallet Studio ,S,Tops,Bodies,Casual,Eventos,Negro,,"9,97",cubyn-fulfillment,3,"12,99",,
#1074,3.1074.30,Woman,"Woman, SL, S, Tops, Crop tops, Party night, Negro",Jenn Muchelas,Top pañuelo negro ,SL,S,Tops,Crop tops,Party night,,Negro,,"9,97",cubyn-fulfillment,3,"12,99",,Brillantes despegados
#1074,3.1074.31,Woman,"Woman, Adika, S, Tops, Crop tops, Party night, Negro",Jenn Muchelas,Top negro anudado,Adika,S,Tops,Crop tops,Party night,,Negro,,"7,67",cubyn-fulfillment,3,"9,99",,
#1074,3.1074.32,Woman,"Woman, H&M, S, Vestidos, Vestidos mini, Party night, Negro",Jenn Muchelas,Vestido negro de vuelo,H&M,S,Vestidos,Vestidos mini,Party night,,Negro,,"9,97",cubyn-fulfillment,3,"12,99",,
